id,eclass,CO2,CO,HC,NOx,PMx,fuel,electricity,noise,route,type,waiting,lane,pos,speed,angle,x,y
0,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.2,0.07,837.22,0,55.94,!0,DEFAULT_VEHTYPE,0,4987249#2_0,3.63,0,26.84,2960.4,2309.31
0,HBEFA3/PC_G_EU4,4039.82,151.56,0.79,1.8,0.09,1288.55,0,68.14,!0,DEFAULT_VEHTYPE,0,:7872192240_0_0,2.55,2.55,26.39,2961.57,2311.57
1,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.2,0.07,837.22,0,55.94,!1,DEFAULT_VEHTYPE,0,-771326027#3_0,5.1,0,130.66,2661.21,2983.73
0,HBEFA3/PC_G_EU4,4047.15,126.98,0.67,1.76,0.08,1290.88,0,64.97,!0,DEFAULT_VEHTYPE,0,4987249#3_0,1.78,4.22,27.32,2963.49,2315.3
1,HBEFA3/PC_G_EU4,3819.02,149.91,0.77,1.7,0.08,1218.13,0,67.25,!1,DEFAULT_VEHTYPE,0,-771326027#3_0,7.46,2.36,130.66,2663,2982.19
2,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.2,0.07,837.22,0,55.94,!2,DEFAULT_VEHTYPE,0,645419926#6_0,0.2,0,312.1,3869.29,2875.65
0,HBEFA3/PC_G_EU4,6501.26,144.64,0.81,2.85,0.14,2073.6,0,69.73,!0,DEFAULT_VEHTYPE,0,4987249#3_0,8.5,6.72,29.3,2966.75,2321.1
1,HBEFA3/PC_G_EU4,5497.55,146.76,0.8,2.43,0.12,1753.48,0,69.26,!1,DEFAULT_VEHTYPE,0,-771326027#3_0,12.41,4.94,130.66,2666.75,2978.97
2,HBEFA3/PC_G_EU4,3223.28,147.38,0.75,1.44,0.07,1028.12,0,64.33,!2,DEFAULT_VEHTYPE,0,:7201339016_0_0,1.75,1.75,312.1,3867.99,2876.82
3,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.2,0.07,837.22,0,55.94,!3,DEFAULT_VEHTYPE,0,701529973#17_0,5.1,0,48.19,3405.84,3316.21
0,HBEFA3/PC_G_EU4,7068.58,132.31,0.77,3.06,0.14,2254.54,0,69.2,!0,DEFAULT_VEHTYPE,0,:7872192244_0_0,2.73,8.87,32.15,2971.37,2328.59
